epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4229.66,0.90207,2.26105,1.50575,0.93284,0.90831,0.93466,0.63333,0.87729,1.98028,1.368,0.003961,0.003961,0.003961
63,4297.93,0.89549,2.20937,1.48986,0.93141,0.91253,0.93701,0.62218,0.91719,2.0161,1.38297,0.003862,0.003862,0.003862
64,4366.08,0.8934,2.2123,1.49218,0.9421,0.90847,0.94203,0.62301,0.93776,2.06828,1.38632,0.003763,0.003763,0.003763
65,4434.25,0.90374,2.22241,1.48413,0.93091,0.92083,0.93827,0.62904,0.88942,1.96626,1.37409,0.003664,0.003664,0.003664
66,4502.47,0.90447,2.19428,1.49711,0.93593,0.90531,0.93582,0.62913,0.90599,1.99013,1.37946,0.003565,0.003565,0.003565
67,4570.62,0.89072,2.17678,1.48357,0.93436,0.9004,0.93894,0.63041,0.90278,1.99494,1.38881,0.003466,0.003466,0.003466
68,4638.82,0.88421,2.11619,1.47406,0.9457,0.92922,0.94745,0.63186,0.91608,1.93515,1.39079,0.003367,0.003367,0.003367
69,4707.07,0.86988,2.12595,1.46535,0.9375,0.91184,0.93917,0.62862,0.92223,1.98622,1.38701,0.003268,0.003268,0.003268
70,4775.27,0.86417,2.08345,1.45329,0.93454,0.91876,0.93737,0.62464,0.92774,1.98547,1.38592,0.003169,0.003169,0.003169
71,4843.43,0.86996,2.09397,1.47065,0.92212,0.92826,0.93949,0.62525,0.92923,1.98998,1.3843,0.00307,0.00307,0.00307
72,4911.67,0.87235,2.10114,1.4766,0.92769,0.92035,0.93507,0.63391,0.90239,1.93634,1.37669,0.002971,0.002971,0.002971
73,4979.89,0.86041,2.0341,1.43532,0.94537,0.9239,0.94265,0.62518,0.96952,2.02655,1.41201,0.002872,0.002872,0.002872
74,5048.13,0.86803,2.06463,1.45273,0.92771,0.92186,0.9364,0.63613,0.9108,1.9754,1.38151,0.002773,0.002773,0.002773
75,5116.42,0.86148,2.0807,1.45245,0.93898,0.91522,0.93934,0.63232,0.90202,1.9213,1.38349,0.002674,0.002674,0.002674
76,5184.58,0.8705,2.05596,1.45605,0.9374,0.92476,0.94324,0.64015,0.89261,1.89192,1.36966,0.002575,0.002575,0.002575
77,5252.81,0.85561,2.05388,1.4418,0.94215,0.91823,0.94058,0.63367,0.90153,1.92785,1.37299,0.002476,0.002476,0.002476
78,5321.07,0.84821,2.01939,1.43517,0.92994,0.92526,0.93827,0.6368,0.89858,1.93259,1.37664,0.002377,0.002377,0.002377
79,5389.22,0.85415,2.04708,1.44924,0.94409,0.93142,0.94628,0.63694,0.91175,1.91068,1.37417,0.002278,0.002278,0.002278
80,5457.45,0.83685,1.97559,1.43307,0.94438,0.9245,0.94052,0.63558,0.90034,1.89823,1.37801,0.002179,0.002179,0.002179
81,5525.68,0.83396,1.95102,1.43737,0.94436,0.92649,0.94209,0.63234,0.93216,1.92001,1.38812,0.00208,0.00208,0.00208
82,5593.9,0.83249,1.95341,1.43172,0.94508,0.93026,0.94721,0.63524,0.91368,1.89189,1.37436,0.001981,0.001981,0.001981
83,5662.15,0.84006,1.95361,1.44014,0.94448,0.93214,0.94354,0.6366,0.899,1.86615,1.36855,0.001882,0.001882,0.001882
84,5730.32,0.82816,1.93596,1.42515,0.93986,0.93492,0.94657,0.63905,0.88312,1.83386,1.36281,0.001783,0.001783,0.001783
85,5798.55,0.81796,1.90269,1.42192,0.93702,0.92847,0.9437,0.64193,0.86814,1.79671,1.36518,0.001684,0.001684,0.001684
86,5866.78,0.81874,1.88753,1.41392,0.94783,0.92955,0.94715,0.64093,0.87214,1.77947,1.36746,0.001585,0.001585,0.001585
87,5934.96,0.80955,1.86659,1.41287,0.93592,0.92783,0.9377,0.63909,0.87399,1.80787,1.3658,0.001486,0.001486,0.001486
88,6003.2,0.8158,1.87988,1.42034,0.9403,0.92712,0.94756,0.63937,0.87342,1.79356,1.36778,0.001387,0.001387,0.001387
89,6071.47,0.80968,1.8276,1.41138,0.94765,0.93584,0.94855,0.64537,0.86589,1.77137,1.36184,0.001288,0.001288,0.001288
90,6139.69,0.79792,1.82351,1.39163,0.94657,0.93244,0.94326,0.6421,0.87187,1.7817,1.36576,0.001189,0.001189,0.001189
91,6208.42,0.79168,1.80679,1.39767,0.94751,0.93703,0.94977,0.64355,0.86675,1.75335,1.36704,0.00109,0.00109,0.00109
92,6276.59,0.79834,1.81795,1.39739,0.94514,0.93377,0.9485,0.64901,0.85465,1.73872,1.35856,0.000991,0.000991,0.000991
93,6344.76,0.79243,1.80106,1.39323,0.93861,0.92667,0.94254,0.64668,0.86035,1.76278,1.36517,0.000892,0.000892,0.000892
94,6412.94,0.78446,1.79368,1.39192,0.94002,0.93425,0.94488,0.64641,0.8756,1.78054,1.3671,0.000793,0.000793,0.000793
95,6481.18,0.79262,1.77045,1.39809,0.94914,0.93254,0.94832,0.65014,0.86597,1.74425,1.36505,0.000694,0.000694,0.000694
96,6549.36,0.79102,1.79129,1.40646,0.94124,0.93763,0.9481,0.64652,0.86731,1.73108,1.3634,0.000595,0.000595,0.000595
97,6617.59,0.77278,1.75928,1.38637,0.94852,0.93251,0.94705,0.64843,0.86704,1.73304,1.36428,0.000496,0.000496,0.000496
98,6685.81,0.77444,1.747,1.38179,0.95281,0.93333,0.94762,0.64651,0.86773,1.73235,1.36447,0.000397,0.000397,0.000397
99,6753.95,0.77932,1.75077,1.39249,0.95183,0.93934,0.94888,0.64656,0.8666,1.73856,1.36483,0.000298,0.000298,0.000298
100,6822.24,0.78069,1.74734,1.38518,0.94608,0.93185,0.94459,0.6471,0.8702,1.73699,1.3665,0.000199,0.000199,0.000199
