epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4720.27,0.84301,1.98657,1.44714,0.92437,0.91527,0.93416,0.62989,0.90236,1.94748,1.38587,0.003268,0.003268,0.003268
70,4788.57,0.83857,1.94282,1.43695,0.9397,0.91301,0.9314,0.62948,0.90198,1.94146,1.38049,0.003169,0.003169,0.003169
71,4856.87,0.84163,1.96698,1.45107,0.93505,0.91851,0.93529,0.63009,0.90292,1.92783,1.38452,0.00307,0.00307,0.00307
72,4925.3,0.84204,1.97995,1.45316,0.93391,0.91282,0.92648,0.62558,0.93147,2.03686,1.39666,0.002971,0.002971,0.002971
73,4993.67,0.83264,1.94166,1.41657,0.93387,0.9212,0.93418,0.63431,0.89591,1.93087,1.37413,0.002872,0.002872,0.002872
74,5062.06,0.83485,1.94683,1.43303,0.93538,0.90905,0.93641,0.63175,0.89027,1.93306,1.37996,0.002773,0.002773,0.002773
75,5130.52,0.82378,1.90778,1.42803,0.93366,0.91613,0.92915,0.62797,0.9053,1.90903,1.38911,0.002674,0.002674,0.002674
76,5198.83,0.82884,1.89449,1.4287,0.9322,0.92022,0.93064,0.63573,0.88853,1.86786,1.37632,0.002575,0.002575,0.002575
77,5267.26,0.80457,1.8546,1.40977,0.93613,0.90976,0.92783,0.62962,0.89729,1.92278,1.37738,0.002476,0.002476,0.002476
78,5335.69,0.80652,1.8759,1.40748,0.93159,0.91434,0.9331,0.62966,0.90558,1.88169,1.38973,0.002377,0.002377,0.002377
79,5403.99,0.82562,1.91059,1.42956,0.94156,0.92527,0.93373,0.62818,0.90606,1.89384,1.38398,0.002278,0.002278,0.002278
80,5472.33,0.80263,1.8572,1.41389,0.9424,0.92899,0.93658,0.62646,0.91305,1.86115,1.39075,0.002179,0.002179,0.002179
81,5540.71,0.80161,1.84823,1.41171,0.93495,0.92406,0.93507,0.62858,0.89834,1.84773,1.38531,0.00208,0.00208,0.00208
82,5609.09,0.79842,1.81122,1.4111,0.94182,0.92849,0.93908,0.63172,0.89513,1.79336,1.38217,0.001981,0.001981,0.001981
83,5677.54,0.79761,1.81539,1.4079,0.94405,0.93073,0.9415,0.63252,0.89779,1.82869,1.38261,0.001882,0.001882,0.001882
84,5745.89,0.79341,1.81591,1.40131,0.93208,0.92428,0.93181,0.62601,0.89436,1.81324,1.38498,0.001783,0.001783,0.001783
85,5814.19,0.78949,1.79745,1.4018,0.93901,0.92636,0.9371,0.62616,0.88756,1.81275,1.38401,0.001684,0.001684,0.001684
86,5882.55,0.78412,1.77482,1.39305,0.94069,0.92465,0.93545,0.62396,0.92061,1.85739,1.39611,0.001585,0.001585,0.001585
87,5950.93,0.76575,1.76667,1.38464,0.93487,0.91753,0.93289,0.6301,0.89559,1.85587,1.38609,0.001486,0.001486,0.001486
88,6019.23,0.77806,1.77021,1.39243,0.93047,0.91398,0.92846,0.62637,0.89541,1.83623,1.38428,0.001387,0.001387,0.001387
89,6087.54,0.76712,1.74121,1.3864,0.9497,0.92876,0.93929,0.6363,0.88884,1.80376,1.38002,0.001288,0.001288,0.001288
90,6155.9,0.75903,1.72169,1.36781,0.9464,0.92533,0.93957,0.63213,0.89757,1.80036,1.38675,0.001189,0.001189,0.001189
91,6224.63,0.75311,1.70861,1.37838,0.94473,0.92632,0.94256,0.6368,0.88408,1.7848,1.38193,0.00109,0.00109,0.00109
92,6293.15,0.75319,1.70288,1.36735,0.94262,0.92367,0.9373,0.63391,0.89149,1.77719,1.38433,0.000991,0.000991,0.000991
93,6361.55,0.74634,1.67795,1.36308,0.94146,0.92972,0.93663,0.63236,0.88584,1.75947,1.38347,0.000892,0.000892,0.000892
94,6429.87,0.73845,1.69073,1.36328,0.93488,0.92896,0.93356,0.62979,0.89666,1.78765,1.38804,0.000793,0.000793,0.000793
95,6498.19,0.74314,1.65606,1.3662,0.94243,0.92779,0.93811,0.63386,0.90163,1.77018,1.38857,0.000694,0.000694,0.000694
96,6566.54,0.74477,1.66481,1.37888,0.94492,0.92728,0.94059,0.63336,0.89819,1.76193,1.38657,0.000595,0.000595,0.000595
97,6634.91,0.73554,1.64763,1.36448,0.93639,0.93419,0.93954,0.63135,0.90122,1.76724,1.38824,0.000496,0.000496,0.000496
98,6703.31,0.7311,1.63873,1.35315,0.93859,0.92807,0.9368,0.63353,0.8983,1.75211,1.3864,0.000397,0.000397,0.000397
99,6771.59,0.73375,1.63409,1.36077,0.93874,0.92988,0.94001,0.63455,0.89613,1.75303,1.38448,0.000298,0.000298,0.000298
100,6839.87,0.7379,1.63546,1.35893,0.9375,0.92902,0.93746,0.63277,0.90002,1.75327,1.38808,0.000199,0.000199,0.000199
